Split,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,Year,Player
All Splits,6.48,1,4,0,0,9,9,0,41.2,47,31,30,13,13,30,.276,2020,Madison Bumgarner
Home,5.65,1,1,0,0,3,3,0,14.1,16,10,9,4,4,8,.267,2020,Madison Bumgarner
Away,6.91,0,3,0,0,6,6,0,27.1,31,21,21,9,9,22,.282,2020,Madison Bumgarner
Day,4.15,1,1,0,0,4,4,0,17.1,13,8,8,5,3,18,.197,2020,Madison Bumgarner
Night,8.14,0,3,0,0,5,5,0,24.1,34,23,22,8,10,12,.327,2020,Madison Bumgarner
July,4.09,0,1,0,0,2,2,0,11.0,8,5,5,1,4,9,.200,2020,Madison Bumgarner
August,18.47,0,2,0,0,2,2,0,6.1,12,14,13,6,3,4,.387,2020,Madison Bumgarner
September,4.44,1,1,0,0,5,5,0,24.1,27,12,12,6,6,17,.273,2020,Madison Bumgarner
Last 7 Days,0.00,1,0,0,0,1,1,0,5.0,2,0,0,0,0,4,.111,2020,Madison Bumgarner
Last 15 Days,4.70,1,0,0,0,3,3,0,15.1,17,8,8,2,2,13,.274,2020,Madison Bumgarner
Last 30 Days,4.44,1,1,0,0,5,5,0,24.1,27,12,12,6,6,17,.273,2020,Madison Bumgarner
vs. COL,0.00,1,0,0,0,1,1,0,5.0,2,0,0,0,0,4,.111,2020,Madison Bumgarner
vs. HOU,6.75,0,1,0,0,2,2,0,9.1,9,8,7,2,3,9,.243,2020,Madison Bumgarner
vs. LAA,13.50,0,0,0,0,1,1,0,5.1,13,8,8,2,1,2,.481,2020,Madison Bumgarner
vs. LAD,3.60,0,0,0,0,1,1,0,5.0,7,2,2,2,2,2,.318,2020,Madison Bumgarner
vs. SD,10.57,0,2,0,0,2,2,0,7.2,9,9,9,4,4,6,.290,2020,Madison Bumgarner
vs. SF,4.50,0,1,0,0,1,1,0,4.0,3,2,2,2,2,2,.200,2020,Madison Bumgarner
vs. TEX,3.38,0,0,0,0,1,1,0,5.1,4,2,2,1,1,5,.200,2020,Madison Bumgarner
Angel Stadium,13.50,0,0,0,0,1,1,0,5.1,13,8,8,2,1,2,.481,2020,Madison Bumgarner
AT&T Park,4.50,0,1,0,0,1,1,0,4.0,3,2,2,2,2,2,.200,2020,Madison Bumgarner
Chase Field,5.65,1,1,0,0,3,3,0,14.1,16,10,9,4,4,8,.267,2020,Madison Bumgarner
Minute Maid Park,0.00,0,0,0,0,1,1,0,5.0,2,0,0,0,1,7,.118,2020,Madison Bumgarner
PETCO Park,10.57,0,2,0,0,2,2,0,7.2,9,9,9,4,4,6,.290,2020,Madison Bumgarner
All Splits,3.90,9,9,0,0,37,34,0,207.2,191,99,90,30,43,203,.245,2019,Madison Bumgarner
Home,2.93,6,2,0,0,19,19,0,122.2,93,43,40,15,21,120,.213,2019,Madison Bumgarner
Away,5.29,3,7,0,0,15,15,0,85.0,98,56,50,15,22,83,.286,2019,Madison Bumgarner
Day,3.80,3,4,0,0,10,10,0,64.0,57,30,27,8,13,71,.238,2019,Madison Bumgarner
Night,3.95,6,5,0,0,24,24,0,143.2,134,69,63,22,30,132,.248,2019,Madison Bumgarner
March,2.57,0,1,0,0,1,1,0,7.0,5,2,2,1,1,9,.208,2019,Madison Bumgarner
April,4.70,1,3,0,0,5,5,0,30.2,32,21,16,4,4,26,.269,2019,Madison Bumgarner
May,3.72,2,1,0,0,6,6,0,36.1,37,16,15,5,9,39,.264,2019,Madison Bumgarner
June,4.04,2,2,0,0,6,6,0,35.2,32,18,16,7,10,39,.241,2019,Madison Bumgarner
July,2.70,1,0,0,0,5,5,0,30.0,26,10,9,1,5,27,.239,2019,Madison Bumgarner
August,3.16,3,1,0,0,6,6,0,37.0,25,13,13,6,7,37,.191,2019,Madison Bumgarner
Last 7 Days,5.14,0,0,0,0,1,1,0,7.0,6,4,4,3,2,9,.240,2019,Madison Bumgarner
Last 15 Days,6.75,0,1,0,0,2,2,0,12.0,15,9,9,3,4,16,.300,2019,Madison Bumgarner
Last 30 Days,5.52,0,1,0,0,5,5,0,31.0,34,19,19,6,7,26,.274,2019,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2019,Madison Bumgarner
vs. ARI,4.19,2,1,0,0,3,3,0,19.1,15,9,9,2,5,24,.211,2019,Madison Bumgarner
vs. ATL,3.00,0,0,0,0,1,1,0,6.0,6,2,2,1,2,6,.261,2019,Madison Bumgarner
vs. BOS,9.00,0,1,0,0,1,1,0,5.0,9,5,5,0,2,7,.360,2019,Madison Bumgarner
vs. CIN,4.50,0,0,0,0,1,1,0,6.0,8,4,3,1,0,7,.320,2019,Madison Bumgarner
vs. COL,4.65,3,0,0,0,5,5,0,31.0,31,16,16,9,7,37,.258,2019,Madison Bumgarner
vs. LAD,3.18,0,3,0,0,4,4,0,22.2,23,13,8,4,6,20,.258,2019,Madison Bumgarner
vs. MIA,2.77,0,1,0,0,2,2,0,13.0,10,4,4,1,1,7,.222,2019,Madison Bumgarner
vs. MIL,2.45,0,0,0,0,2,2,0,11.0,12,6,3,1,4,12,.279,2019,Madison Bumgarner
Batting #4,90,19,27,3,0,4,18,5,2,17,3,0,.300,.340,.467,.807,2019,Madison Bumgarner
Batting #8,70,9,17,3,0,4,9,9,0,12,1,1,.243,.325,.457,.782,2019,Madison Bumgarner
Batting #9,70,1,7,4,0,0,1,2,0,41,0,1,.100,.125,.157,.282,2019,Madison Bumgarner
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Madison Bumgarner
None On,501,21,115,26,1,21,21,23,5,128,0,0,.230,.270,.411,.681,2019,Madison Bumgarner
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Madison Bumgarner
1st Time Faced In Game,297,25,61,16,1,5,24,17,4,93,6,1,.205,.257,.316,.574,2019,Madison Bumgarner
2nd Time Faced In Game,266,42,72,10,2,16,42,14,4,68,3,1,.271,.314,.504,.817,2019,Madison Bumgarner
3rd Time Faced In Game,209,27,57,15,2,9,25,12,2,40,4,1,.273,.317,.493,.810,2019,Madison Bumgarner
4th+ Time Faced In Game,8,0,1,0,0,0,0,0,0,2,0,0,.125,.125,.125,.250,2019,Madison Bumgarner
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2019,Madison Bumgarner
As Starter,780,99,191,41,5,30,91,43,10,203,14,3,.245,.291,.426,.717,2019,Madison Bumgarner
All Splits,3.26,6,7,0,0,21,21,0,129.2,118,51,47,14,43,109,.238,2018,Madison Bumgarner
Home,1.63,4,3,0,0,10,10,0,66.1,50,13,12,3,19,55,.204,2018,Madison Bumgarner
Away,4.97,2,4,0,0,11,11,0,63.1,68,38,35,11,24,54,.272,2018,Madison Bumgarner
Day,4.60,2,1,0,0,5,5,0,31.1,29,17,16,6,7,31,.244,2018,Madison Bumgarner
Night,2.84,4,6,0,0,16,16,0,98.1,89,34,31,8,36,78,.237,2018,Madison Bumgarner
June,2.51,1,2,0,0,5,5,0,32.1,24,9,9,3,9,25,.203,2018,Madison Bumgarner
July,3.68,2,2,0,0,5,5,0,29.1,26,14,12,2,15,26,.232,2018,Madison Bumgarner
August,2.08,2,1,0,0,6,6,0,39.0,36,10,9,4,14,35,.240,2018,Madison Bumgarner
September,5.28,1,2,0,0,5,5,0,29.0,32,18,17,5,5,23,.278,2018,Madison Bumgarner
Last 30 Days,4.50,0,1,0,0,1,1,0,6.0,7,3,3,1,1,6,.280,2018,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Madison Bumgarner
vs. CIN,7.50,0,1,0,0,1,1,0,6.0,8,6,5,2,2,6,.320,2018,Madison Bumgarner
vs. COL,3.00,1,1,0,0,4,4,0,24.0,23,10,8,3,7,21,.250,2018,Madison Bumgarner
vs. HOU,0.00,0,0,0,0,1,1,0,7.0,5,0,0,0,3,7,.200,2018,Madison Bumgarner
vs. LAD,4.00,0,2,0,0,3,3,0,18.0,19,8,8,4,7,13,.268,2018,Madison Bumgarner
vs. MIA,6.75,0,0,0,0,1,1,0,5.1,6,4,4,1,1,3,.273,2018,Madison Bumgarner
vs. MIL,4.50,0,2,0,0,2,2,0,14.0,10,8,7,1,2,9,.192,2018,Madison Bumgarner
vs. NYM,1.13,1,0,0,0,1,1,0,8.0,5,1,1,1,0,8,.179,2018,Madison Bumgarner
vs. SD,0.00,1,0,0,0,1,1,0,8.0,3,0,0,0,2,8,.111,2018,Madison Bumgarner
vs. STL,5.56,1,0,0,0,2,2,0,11.1,15,7,7,1,3,11,.319,2018,Madison Bumgarner
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2018,Madison Bumgarner
AT&T Park,1.63,4,3,0,0,10,10,0,66.1,50,13,12,3,19,55,.204,2018,Madison Bumgarner
Busch Stadium II,4.50,0,0,0,0,1,1,0,6.0,8,3,3,0,1,5,.320,2018,Madison Bumgarner
Inning Pitches,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2018,Madison Bumgarner
4th+ Time Faced In Game,16,1,4,1,0,0,1,2,0,2,0,0,.250,.333,.313,.646,2018,Madison Bumgarner
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2018,Madison Bumgarner
As Starter,495,51,118,27,3,14,46,43,5,109,13,0,.238,.304,.390,.694,2018,Madison Bumgarner
All Splits,3.32,4,9,0,0,17,17,1,111.0,101,41,41,17,20,101,.238,2017,Madison Bumgarner
Home,3.40,2,5,0,0,8,8,0,50.1,44,19,19,8,10,49,.228,2017,Madison Bumgarner
Away,3.26,2,4,0,0,9,9,1,60.2,57,22,22,9,10,52,.247,2017,Madison Bumgarner
Day,4.65,1,2,0,0,5,5,0,31.0,30,16,16,6,5,34,.246,2017,Madison Bumgarner
Night,2.81,3,7,0,0,12,12,1,80.0,71,25,25,11,15,67,.235,2017,Madison Bumgarner
April,3.00,0,3,0,0,4,4,1,27.0,25,9,9,2,4,28,.236,2017,Madison Bumgarner
July,2.84,1,1,0,0,4,4,0,25.1,21,8,8,4,5,21,.216,2017,Madison Bumgarner
August,2.73,2,2,0,0,5,5,0,33.0,28,10,10,5,6,32,.228,2017,Madison Bumgarner
September,4.91,1,3,0,0,4,4,0,25.2,27,14,14,6,5,20,.276,2017,Madison Bumgarner
Last 7 Days,---,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,.000,2017,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2017,Madison Bumgarner
vs. CHC,1.29,1,0,0,0,1,1,0,7.0,5,1,1,1,1,7,.192,2017,Madison Bumgarner
vs. CHW,10.80,0,1,0,0,1,1,0,5.0,10,6,6,1,1,4,.435,2017,Madison Bumgarner
vs. COL,4.50,0,1,0,0,1,1,0,6.0,6,3,3,1,1,8,.250,2017,Madison Bumgarner
vs. KC,1.50,0,1,0,0,1,1,0,6.0,7,1,1,0,1,4,.280,2017,Madison Bumgarner
vs. LAD,0.61,1,0,0,0,2,2,0,14.2,10,1,1,1,2,12,.192,2017,Madison Bumgarner
vs. MIA,6.00,1,0,0,0,1,1,0,6.0,9,4,4,2,1,4,.391,2017,Madison Bumgarner
vs. PHI,1.50,0,0,0,0,1,1,0,6.0,4,1,1,0,1,7,.174,2017,Madison Bumgarner
vs. SD,3.80,0,2,0,0,3,3,1,21.1,16,9,9,4,5,15,.203,2017,Madison Bumgarner
vs. STL,7.50,0,1,0,0,1,1,0,6.0,5,5,5,3,2,5,.217,2017,Madison Bumgarner
Stadium,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2017,Madison Bumgarner
AT&T Park,3.40,2,5,0,0,8,8,0,50.1,44,19,19,8,10,49,.228,2017,Madison Bumgarner
Chase Field,3.21,0,1,0,0,2,2,0,14.0,11,5,5,3,1,18,.208,2017,Madison Bumgarner
All Splits,2.74,15,9,0,0,34,34,4,226.2,178,79,69,26,54,251,.212,2016,Madison Bumgarner
Home,2.14,9,4,0,0,17,17,1,117.2,82,31,28,7,28,124,.195,2016,Madison Bumgarner
Away,3.39,6,5,0,0,17,17,3,109.0,96,48,41,19,26,127,.228,2016,Madison Bumgarner
Day,1.97,5,3,0,0,11,11,1,73.0,53,17,16,5,23,79,.200,2016,Madison Bumgarner
Night,3.10,10,6,0,0,23,23,3,153.2,125,62,53,21,31,172,.217,2016,Madison Bumgarner
April,3.64,2,2,0,0,5,5,0,29.2,30,15,12,5,10,38,.254,2016,Madison Bumgarner
May,1.05,4,0,0,0,6,6,1,42.2,29,7,5,1,12,45,.188,2016,Madison Bumgarner
June,2.34,3,2,0,0,6,6,1,42.1,29,11,11,6,7,43,.192,2016,Madison Bumgarner
July,1.75,1,2,0,0,5,5,1,36.0,24,8,7,3,7,44,.185,2016,Madison Bumgarner
August,4.14,3,2,0,0,6,6,1,37.0,35,21,17,6,13,37,.250,2016,Madison Bumgarner
September,3.92,2,1,0,0,6,6,0,39.0,31,17,17,5,5,44,.209,2016,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2016,Madison Bumgarner
vs. ARI,2.45,1,1,0,0,3,3,1,22.0,12,6,6,3,3,31,.158,2016,Madison Bumgarner
vs. ATL,1.84,2,0,0,0,2,2,0,14.2,9,3,3,1,4,16,.173,2016,Madison Bumgarner
vs. BAL,0.00,1,0,0,0,1,1,0,7.0,3,0,0,0,3,8,.125,2016,Madison Bumgarner
vs. BOS,1.50,0,0,0,0,1,1,0,6.0,4,1,1,1,1,5,.182,2016,Madison Bumgarner
vs. CHC,1.32,2,0,0,0,2,2,0,13.2,8,2,2,0,2,16,.163,2016,Madison Bumgarner
vs. CIN,1.13,0,1,0,0,1,1,0,8.0,5,2,1,1,0,9,.179,2016,Madison Bumgarner
vs. LAD,3.86,1,2,0,0,5,5,0,30.1,32,16,13,3,4,37,.256,2016,Madison Bumgarner
vs. MIL,3.46,2,0,0,0,2,2,0,13.0,9,5,5,3,6,14,.214,2016,Madison Bumgarner
vs. NYM,3.27,2,0,0,0,2,2,0,11.0,12,4,4,1,6,13,.279,2016,Madison Bumgarner
vs. NYY,2.57,0,0,0,0,1,1,0,7.0,7,2,2,0,3,6,.250,2016,Madison Bumgarner
vs. OAK,5.68,1,0,0,0,1,1,0,6.1,7,4,4,2,0,4,.269,2016,Madison Bumgarner
Batting #4,94,9,21,8,0,3,9,8,1,30,2,1,.223,.288,.404,.693,2016,Madison Bumgarner
Batting #8,82,9,14,4,0,2,9,5,2,22,0,1,.171,.231,.293,.523,2016,Madison Bumgarner
Batting #9,82,1,4,0,0,0,1,2,1,38,0,0,.049,.082,.049,.131,2016,Madison Bumgarner
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2016,Madison Bumgarner
None On,537,15,115,27,2,15,15,29,5,158,0,0,.214,.261,.356,.617,2016,Madison Bumgarner
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2016,Madison Bumgarner
As Starter,841,79,178,37,2,26,77,54,8,251,6,5,.212,.264,.353,.617,2016,Madison Bumgarner
All Splits,2.93,18,9,0,0,32,32,4,218.1,181,73,71,21,39,234,.222,2015,Madison Bumgarner
Home,1.94,9,4,0,0,17,17,3,120.2,84,28,26,10,26,141,.192,2015,Madison Bumgarner
Away,4.15,9,5,0,0,15,15,1,97.2,97,45,45,11,13,93,.257,2015,Madison Bumgarner
Day,3.12,8,1,0,0,10,10,1,66.1,54,23,23,6,13,74,.220,2015,Madison Bumgarner
Night,2.84,10,8,0,0,22,22,3,152.0,127,50,48,15,26,160,.223,2015,Madison Bumgarner
April,3.73,2,1,0,0,5,5,0,31.1,33,13,13,3,5,26,.266,2015,Madison Bumgarner
May,2.61,4,1,0,0,6,6,0,38.0,31,11,11,5,8,35,.212,2015,Madison Bumgarner
June,2.77,2,2,0,0,5,5,1,39.0,29,12,12,3,7,49,.215,2015,Madison Bumgarner
July,4.85,3,2,0,0,5,5,0,29.2,34,16,16,5,6,29,.283,2015,Madison Bumgarner
August,1.43,5,0,0,0,5,5,2,37.2,23,6,6,0,4,53,.173,2015,Madison Bumgarner
September,2.74,2,3,0,0,6,6,1,42.2,31,15,13,5,9,42,.199,2015,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2015,Madison Bumgarner
vs. ARI,2.06,2,2,0,0,5,5,0,35.0,30,9,8,2,9,24,.236,2015,Madison Bumgarner
vs. ATL,2.63,1,0,0,0,2,2,0,13.2,12,4,4,1,1,15,.226,2015,Madison Bumgarner
vs. CHC,1.50,1,0,0,0,1,1,0,6.0,2,1,1,0,2,12,.100,2015,Madison Bumgarner
vs. CIN,2.57,1,0,0,0,1,1,0,7.0,8,2,2,2,0,4,.276,2015,Madison Bumgarner
vs. COL,3.95,2,0,0,0,2,2,0,13.2,14,6,6,1,3,11,.280,2015,Madison Bumgarner
vs. HOU,1.00,1,0,0,0,1,1,1,9.0,5,1,1,0,0,12,.161,2015,Madison Bumgarner
vs. MIA,5.40,0,1,0,0,1,1,0,5.0,5,3,3,1,2,10,.250,2015,Madison Bumgarner
vs. MIL,4.50,1,0,0,0,1,1,0,6.0,4,3,3,1,2,3,.190,2015,Madison Bumgarner
vs. OAK,1.29,1,0,0,0,1,1,0,7.0,5,1,1,0,2,7,.192,2015,Madison Bumgarner
vs. PHI,4.61,2,0,0,0,2,2,0,13.2,14,7,7,3,2,18,.269,2015,Madison Bumgarner
vs. PIT,4.26,1,0,0,0,1,1,0,6.1,6,3,3,0,1,6,.250,2015,Madison Bumgarner
Batting #5,84,10,22,3,0,2,10,6,1,21,0,1,.262,.315,.369,.684,2015,Madison Bumgarner
Batting #9,82,9,8,1,0,3,9,1,0,34,0,0,.098,.107,.220,.327,2015,Madison Bumgarner
Situation,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2015,Madison Bumgarner
None On,518,12,106,15,3,12,12,29,3,162,0,0,.205,.251,.315,.566,2015,Madison Bumgarner
Runners On,296,61,75,15,2,9,58,10,4,72,5,4,.253,.283,.409,.692,2015,Madison Bumgarner
As Starter,814,73,181,30,5,21,70,39,7,234,5,4,.222,.263,.349,.612,2015,Madison Bumgarner
All Splits,2.98,18,10,0,0,33,33,4,217.1,194,81,72,21,43,219,.240,2014,Madison Bumgarner
Home,4.03,7,6,0,0,15,15,1,91.2,90,43,41,7,24,101,.260,2014,Madison Bumgarner
Away,2.22,11,4,0,0,18,18,3,125.2,104,38,31,14,19,118,.224,2014,Madison Bumgarner
Day,2.80,10,2,0,0,14,14,1,90.0,78,31,28,6,19,95,.235,2014,Madison Bumgarner
Night,3.11,8,8,0,0,19,19,3,127.1,116,50,44,15,24,124,.243,2014,Madison Bumgarner
March,0.00,0,0,0,0,1,1,0,4.0,6,4,0,0,2,3,.316,2014,Madison Bumgarner
April,4.25,2,3,0,0,5,5,1,29.2,39,15,14,4,11,34,.310,2014,Madison Bumgarner
May,2.08,5,0,0,0,6,6,0,39.0,28,10,9,2,5,48,.203,2014,Madison Bumgarner
June,3.00,2,2,0,0,5,5,0,36.0,28,13,12,2,8,29,.220,2014,Madison Bumgarner
July,4.95,3,3,0,0,6,6,0,36.1,41,21,20,4,10,29,.293,2014,Madison Bumgarner
August,1.57,4,1,0,0,6,6,3,46.0,26,9,8,4,3,56,.164,2014,Madison Bumgarner
Last 7 Days,4.91,0,1,0,0,1,1,0,7.1,6,4,4,3,0,5,.222,2014,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2014,Madison Bumgarner
vs. ARI,2.22,2,0,0,0,4,4,0,24.1,25,11,6,1,6,21,.263,2014,Madison Bumgarner
vs. ATL,3.27,2,0,0,0,2,2,0,11.0,10,5,4,0,2,14,.244,2014,Madison Bumgarner
vs. CHC,3.86,1,0,0,0,1,1,0,7.0,7,3,3,2,1,12,.250,2014,Madison Bumgarner
vs. CIN,3.86,1,1,0,0,2,2,0,14.0,12,6,6,1,1,8,.231,2014,Madison Bumgarner
vs. COL,3.25,2,1,0,0,5,5,2,36.0,33,13,13,5,8,41,.248,2014,Madison Bumgarner
vs. KC,3.38,0,1,0,0,1,1,1,8.0,7,4,3,1,0,5,.241,2014,Madison Bumgarner
vs. LAD,2.45,3,2,0,0,5,5,0,33.0,27,9,9,4,7,38,.221,2014,Madison Bumgarner
vs. MIA,1.50,1,0,0,0,1,1,0,6.0,4,1,1,1,2,7,.190,2014,Madison Bumgarner
vs. MIL,1.50,1,0,0,0,1,1,0,6.0,5,1,1,0,1,7,.238,2014,Madison Bumgarner
vs. MIN,1.29,1,0,0,0,1,1,0,7.0,3,1,1,0,0,10,.130,2014,Madison Bumgarner
Batting #2,98,10,27,5,0,3,8,6,1,25,2,2,.276,.324,.418,.742,2014,Madison Bumgarner
Batting #6,87,7,20,5,0,2,7,7,0,31,1,0,.230,.287,.356,.644,2014,Madison Bumgarner
Batting #7,82,7,22,6,0,1,7,4,1,20,1,1,.268,.307,.378,.685,2014,Madison Bumgarner
Batting #8,80,7,17,2,1,0,6,7,0,13,0,0,.213,.276,.263,.538,2014,Madison Bumgarner
Batting #9,79,7,11,4,0,0,7,0,0,32,0,0,.139,.139,.190,.329,2014,Madison Bumgarner
Bases Loaded,8,6,2,0,0,0,5,0,0,4,0,0,.250,.222,.250,.472,2014,Madison Bumgarner
"Scoring Position, 2 out",81,16,14,4,1,1,15,6,0,31,0,0,.173,.230,.284,.514,2014,Madison Bumgarner
Rest (as reliever),AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,2014,Madison Bumgarner
As Starter,810,81,194,40,2,21,75,43,6,219,7,10,.240,.281,.372,.653,2014,Madison Bumgarner
All Splits,2.77,13,9,0,0,31,31,0,201.1,146,68,62,15,62,199,.203,2013,Madison Bumgarner
Home,2.33,4,4,0,0,13,13,0,89.0,61,24,23,8,28,93,.197,2013,Madison Bumgarner
Away,3.12,9,5,0,0,18,18,0,112.1,85,44,39,7,34,106,.207,2013,Madison Bumgarner
Day,2.12,6,2,0,0,12,12,0,80.2,51,20,19,8,29,85,.181,2013,Madison Bumgarner
Night,3.21,7,7,0,0,19,19,0,120.2,95,48,43,7,33,114,.216,2013,Madison Bumgarner
April,1.55,3,0,0,0,6,6,0,40.2,25,7,7,3,9,36,.181,2013,Madison Bumgarner
May,5.17,1,3,0,0,5,5,0,31.1,28,20,18,4,13,33,.233,2013,Madison Bumgarner
June,3.00,4,2,0,0,6,6,0,39.0,25,14,13,4,11,38,.182,2013,Madison Bumgarner
July,1.55,2,1,0,0,4,4,0,29.0,16,5,5,1,6,28,.160,2013,Madison Bumgarner
August,3.47,1,3,0,0,6,6,0,36.1,34,17,14,2,16,33,.250,2013,Madison Bumgarner
September,1.80,2,0,0,0,4,4,0,25.0,18,5,5,1,7,31,.202,2013,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2013,Madison Bumgarner
vs. ARI,1.39,1,1,0,0,5,5,0,32.1,22,5,5,0,6,28,.200,2013,Madison Bumgarner
vs. ATL,0.64,2,0,0,0,2,2,0,14.0,6,1,1,0,3,21,.128,2013,Madison Bumgarner
vs. CHC,1.23,1,0,0,0,2,2,0,14.2,10,2,2,1,4,13,.189,2013,Madison Bumgarner
vs. COL,5.16,2,2,0,0,4,4,0,22.2,22,16,13,3,11,20,.247,2013,Madison Bumgarner
vs. LAD,1.93,3,1,0,0,4,4,0,28.0,15,7,6,3,3,26,.155,2013,Madison Bumgarner
vs. MIA,5.40,0,0,0,0,1,1,0,5.0,5,4,3,1,4,3,.263,2013,Madison Bumgarner
vs. NYM,1.29,1,0,0,0,1,1,0,7.0,4,1,1,0,3,10,.160,2013,Madison Bumgarner
vs. OAK,5.40,0,1,0,0,1,1,0,6.2,4,4,4,1,5,6,.174,2013,Madison Bumgarner
vs. PHI,7.50,0,1,0,0,1,1,0,6.0,8,5,5,1,2,7,.333,2013,Madison Bumgarner
vs. PIT,3.38,0,1,0,0,1,1,0,8.0,7,3,3,1,4,5,.259,2013,Madison Bumgarner
vs. SD,2.77,2,0,0,0,4,4,0,26.0,16,8,8,3,7,30,.178,2013,Madison Bumgarner
Batting #8,72,10,19,1,0,3,10,9,0,18,1,1,.264,.346,.403,.748,2013,Madison Bumgarner
Runners On,261,59,51,8,0,6,45,25,4,79,8,7,.195,.272,.295,.567,2013,Madison Bumgarner
Scoring Position,127,50,26,4,0,2,36,17,2,39,3,1,.205,.300,.283,.583,2013,Madison Bumgarner
Bases Loaded,10,9,2,1,0,1,7,0,0,3,0,0,.200,.200,.600,.800,2013,Madison Bumgarner
"Scoring Position, 2 out",63,17,8,2,0,1,13,14,1,18,0,0,.127,.295,.206,.501,2013,Madison Bumgarner
All Splits,3.37,16,11,0,0,32,32,2,208.1,183,87,78,23,49,191,.234,2012,Madison Bumgarner
Home,2.38,10,3,0,0,15,15,2,106.0,84,30,28,5,24,98,.219,2012,Madison Bumgarner
Away,4.40,6,8,0,0,17,17,0,102.1,99,57,50,18,25,93,.249,2012,Madison Bumgarner
Day,4.48,5,7,0,0,13,13,0,80.1,79,43,40,13,22,67,.254,2012,Madison Bumgarner
Night,2.67,11,4,0,0,19,19,2,128.0,104,44,38,10,27,124,.221,2012,Madison Bumgarner
April,2.53,4,1,0,0,5,5,0,32.0,27,9,9,3,8,17,.231,2012,Madison Bumgarner
May,3.71,1,3,0,0,5,5,0,34.0,32,18,14,4,6,30,.239,2012,Madison Bumgarner
June,2.42,5,0,0,0,6,6,1,44.2,36,13,12,3,8,45,.220,2012,Madison Bumgarner
July,3.94,1,2,0,0,5,5,0,32.0,26,15,14,6,7,38,.218,2012,Madison Bumgarner
August,2.97,3,3,0,0,6,6,1,39.1,30,14,13,4,9,38,.211,2012,Madison Bumgarner
September,5.47,2,2,0,0,5,5,0,26.1,32,18,16,3,11,23,.302,2012,Madison Bumgarner
Opponent,ERA,W,L,SV,SVOP,GP,GS,CG,IP,H,R,ER,HR,BB,K,OBA,2012,Madison Bumgarner
vs. ARI,6.61,0,3,0,0,3,3,0,16.1,22,13,12,4,6,13,.310,2012,Madison Bumgarner
vs. ATL,4.05,0,2,0,0,2,2,0,13.1,10,7,6,3,4,13,.208,2012,Madison Bumgarner
vs. CHC,4.50,1,1,0,0,2,2,0,12.0,14,7,6,1,2,14,.298,2012,Madison Bumgarner
vs. CIN,0.00,1,0,0,0,1,1,1,9.0,1,0,0,0,2,8,.038,2012,Madison Bumgarner
vs. COL,3.04,3,0,0,0,4,4,0,23.2,24,8,8,1,9,17,.270,2012,Madison Bumgarner
vs. HOU,1.23,2,0,0,0,2,2,0,14.2,8,3,2,1,2,17,.151,2012,Madison Bumgarner
vs. MIA,6.00,0,1,0,0,1,1,0,6.0,7,5,4,0,2,7,.280,2012,Madison Bumgarner
vs. MIL,1.23,1,0,0,0,2,2,0,14.2,11,4,2,1,2,15,.200,2012,Madison Bumgarner
vs. NYM,2.08,1,0,0,0,2,2,0,13.0,9,3,3,0,4,13,.196,2012,Madison Bumgarner
